Date,Time,Temp °C,SpCond µS/cm
4/4/19,11:00:00,2.547,43.9
4/4/19,12:00:00,2.486,44
4/4/19,13:00:00,2.385,44
4/4/19,14:00:00,2.458,44.1
4/4/19,15:00:00,2.564,44.2
4/4/19,16:00:00,2.677,44.3
4/4/19,17:00:00,2.765,44.4
4/4/19,18:00:00,2.816,44.5
4/4/19,19:00:00,2.839,44.6
4/4/19,20:00:00,2.839,44.7
4/4/19,21:00:00,2.803,44.8
4/4/19,22:00:00,2.762,44.9
4/4/19,23:00:00,2.705,45
4/5/19,0:00:00,2.643,45.2
4/5/19,1:00:00,2.585,45.3
4/5/19,2:00:00,2.529,45.5
4/5/19,3:00:00,2.48,45.6
4/5/19,4:00:00,2.432,45.8
4/5/19,5:00:00,2.382,45.9
4/5/19,6:00:00,2.33,46.1
4/5/19,7:00:00,2.265,46.2
4/5/19,8:00:00,2.235,46.3
4/5/19,9:00:00,2.262,46.4
4/5/19,10:00:00,2.363,46.5
4/5/19,11:00:00,2.484,46.7
4/5/19,12:00:00,2.614,46.8
4/5/19,13:00:00,2.78,46.9
4/5/19,14:00:00,2.936,47
4/5/19,15:00:00,3.016,47
4/5/19,16:00:00,3.072,47
4/5/19,17:00:00,3.145,47.1
4/5/19,18:00:00,3.175,47.1
4/5/19,19:00:00,3.163,47.2
4/5/19,20:00:00,3.116,47.2
4/5/19,21:00:00,3.051,47.3
4/5/19,22:00:00,2.982,47.4
4/5/19,23:00:00,2.91,47.4
4/6/19,0:00:00,2.839,47.5
4/6/19,1:00:00,2.768,47.5
4/6/19,2:00:00,2.707,47.6
4/6/19,3:00:00,2.647,47.7
4/6/19,4:00:00,2.595,47.8
4/6/19,5:00:00,2.548,47.9
4/6/19,6:00:00,2.509,47.9
4/6/19,7:00:00,2.476,48
4/6/19,8:00:00,2.456,48.1
4/6/19,9:00:00,2.471,48.2
4/6/19,10:00:00,2.566,48.3
4/6/19,11:00:00,2.698,48.3
4/6/19,12:00:00,2.903,48.4
4/6/19,13:00:00,3.15,48.4
4/6/19,14:00:00,3.401,48.4
4/6/19,15:00:00,3.616,48.5
4/6/19,16:00:00,3.788,48.4
4/6/19,17:00:00,3.91,48.4
4/6/19,18:00:00,3.959,48.4
4/6/19,19:00:00,3.92,48.4
4/6/19,20:00:00,3.812,48.5
4/6/19,21:00:00,3.672,48.5
4/6/19,22:00:00,3.501,48.4
4/6/19,23:00:00,3.313,48.4
4/7/19,0:00:00,3.155,48.4
4/7/19,1:00:00,3.023,48.3
4/7/19,2:00:00,2.913,48.2
4/7/19,3:00:00,2.825,48
4/7/19,4:00:00,2.753,47.9
4/7/19,5:00:00,2.705,47.7
4/7/19,6:00:00,2.663,47.6
4/7/19,7:00:00,2.636,47.6
4/7/19,8:00:00,2.624,47.6
4/7/19,9:00:00,2.687,47.6
4/7/19,10:00:00,2.783,47.6
4/7/19,11:00:00,3.001,47.6
4/7/19,12:00:00,3.33,47.7
4/7/19,13:00:00,3.435,47.7
4/7/19,14:00:00,3.557,47.7
4/7/19,15:00:00,3.622,47.7
4/7/19,16:00:00,3.657,47.8
4/7/19,17:00:00,3.659,47.8
4/7/19,18:00:00,3.661,47.8
4/7/19,19:00:00,3.636,47.8
4/7/19,20:00:00,3.582,47.8
4/7/19,21:00:00,3.515,47.8
4/7/19,22:00:00,3.426,47.7
4/7/19,23:00:00,3.349,47.6
4/8/19,0:00:00,3.275,47.4
4/8/19,1:00:00,3.205,47.3
4/8/19,2:00:00,3.142,47.1
4/8/19,3:00:00,3.08,46.9
4/8/19,4:00:00,3.025,46.8
