,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River,Discharge.stage@Herbert River
mm/dd/yyyy HH:MM:SS,ft^3/s,,,
Date-Time,Value,Grade,Approval,Interpolation Code
05/23/2018 11:44:59,,,0,1
05/23/2018 11:45:00,1445.85477443805,,0,1
05/23/2018 12:00:00,1418.09483294086,,0,1
05/23/2018 12:15:00,1397.40272783801,,0,1
05/23/2018 12:30:00,1452.82509131659,,0,1
05/23/2018 12:45:00,1445.85477443805,,0,1
05/23/2018 13:00:00,1431.95050590367,,0,1
05/23/2018 13:15:00,1466.80200946798,,0,1
05/23/2018 13:30:00,1487.85785731582,,0,1
05/23/2018 13:45:00,1473.80857862213,,0,1
05/23/2018 14:00:00,1501.95521763552,,0,1
05/23/2018 14:15:00,1487.85785731582,,0,1
05/23/2018 14:30:00,1473.80857862213,,0,1
05/23/2018 14:45:00,1466.80200946798,,0,1
05/23/2018 15:00:00,1501.95521763552,,0,1
05/23/2018 15:15:00,1523.19113647018,,0,1
05/23/2018 15:30:00,1494.90053515471,,0,1
05/23/2018 15:45:00,1544.5345366351,,0,1
05/23/2018 16:00:00,1509.02188907866,,0,1
05/23/2018 16:15:00,1487.85785731582,,0,1
05/23/2018 16:30:00,1466.80200946798,,0,1
05/23/2018 16:45:00,1473.80857862213,,0,1
05/23/2018 17:00:00,1480.82719986634,,0,1
05/23/2018 17:15:00,1494.90053515471,,0,1
05/23/2018 17:30:00,1431.95050590367,,0,1
05/23/2018 17:45:00,1411.18526079904,,0,1
05/23/2018 18:00:00,1445.85477443805,,0,1
05/23/2018 18:15:00,1445.85477443805,,0,1
05/23/2018 18:30:00,1438.89657388806,,0,1
05/23/2018 18:45:00,1438.89657388806,,0,1
05/23/2018 19:00:00,1431.95050590367,,0,1
05/23/2018 19:15:00,1411.18526079904,,0,1
05/23/2018 19:30:00,1480.82719986634,,0,1
05/23/2018 19:45:00,1425.01658679404,,0,1
05/23/2018 20:00:00,1404.28788689715,,0,1
05/23/2018 20:15:00,1438.89657388806,,0,1
05/23/2018 20:30:00,1418.09483294086,,0,1
05/23/2018 20:45:00,1404.28788689715,,0,1
05/23/2018 21:00:00,1376.8207068716,,0,1
05/23/2018 21:15:00,1369.98457471727,,0,1
05/23/2018 21:30:00,1383.66912103416,,0,1
05/23/2018 21:45:00,1315.7397242022,,0,1
05/23/2018 22:00:00,1369.98457471727,,0,1
05/23/2018 22:15:00,1376.8207068716,,0,1
05/23/2018 22:30:00,1329.22666047974,,0,1
05/23/2018 22:45:00,1349.55004052131,,0,1
05/23/2018 23:00:00,1349.55004052131,,0,1
05/23/2018 23:15:00,1356.34922444236,,0,1
05/23/2018 23:30:00,1349.55004052131,,0,1
05/23/2018 23:45:00,1322.47698229964,,0,1
05/24/2018 00:00:00,1349.55004052131,,0,1
05/24/2018 00:15:00,1322.47698229964,,0,1
05/24/2018 00:30:00,1315.7397242022,,0,1
05/24/2018 00:45:00,1309.01490380971,,0,1
05/24/2018 01:00:00,1302.30253882731,,0,1
05/24/2018 01:15:00,1262.29091463387,,0,1
05/24/2018 01:30:00,1268.92817062648,,0,1
05/24/2018 01:45:00,1275.57799003654,,0,1
05/24/2018 02:00:00,1249.05416620439,,0,1
05/24/2018 02:15:00,1209.647364907,,0,1
05/24/2018 02:30:00,1235.86789224258,,0,1
05/24/2018 02:45:00,1190.11558324798,,0,1
05/24/2018 03:00:00,1249.05416620439,,0,1
05/24/2018 03:15:00,1249.05416620439,,0,1
05/24/2018 03:30:00,1183.63054175052,,0,1
05/24/2018 03:45:00,1190.11558324798,,0,1
05/24/2018 04:00:00,1190.11558324798,,0,1
05/24/2018 04:15:00,1203.12401409495,,0,1
05/24/2018 04:30:00,1196.6134138017,,0,1
05/24/2018 04:45:00,1222.73224167954,,0,1
05/24/2018 05:00:00,1209.647364907,,0,1
05/24/2018 05:15:00,1190.11558324798,,0,1
05/24/2018 05:30:00,1196.6134138017,,0,1
05/24/2018 05:45:00,1190.11558324798,,0,1
05/24/2018 06:00:00,1196.6134138017,,0,1
05/24/2018 06:15:00,1177.15830872286,,0,1
05/24/2018 06:30:00,1151.39785301496,,0,1
05/24/2018 06:45:00,1144.98995698538,,0,1
05/24/2018 07:00:00,1151.39785301496,,0,1
05/24/2018 07:15:00,1100.49777537505,,0,1
05/24/2018 07:30:00,1119.48784484083,,0,1
05/24/2018 07:45:00,1151.39785301496,,0,1
05/24/2018 08:00:00,1132.21296613291,,0,1
05/24/2018 08:15:00,1144.98995698538,,0,1
05/24/2018 08:30:00,1100.49777537505,,0,1
05/24/2018 08:45:00,1138.59498798642,,0,1
05/24/2018 09:00:00,1125.84391164335,,0,1
05/24/2018 09:15:00,1100.49777537505,,0,1
05/24/2018 09:30:00,1113.14478615397,,0,1
05/24/2018 09:45:00,1106.81475611789,,0,1
05/24/2018 10:00:00,1106.81475611789,,0,1
05/24/2018 10:15:00,1113.14478615397,,0,1
05/24/2018 10:30:00,1100.49777537505,,0,1
05/24/2018 10:45:00,1094.19386467633,,0,1
05/24/2018 11:00:00,1056.64604735846,,0,1
05/24/2018 11:15:00,1050.4342173014,,0,1
05/24/2018 11:30:00,1056.64604735846,,0,1
05/24/2018 11:45:00,1056.64604735846,,0,1
05/24/2018 12:00:00,1025.7195160882,,0,1
05/24/2018 12:15:00,1025.7195160882,,0,1
05/24/2018 12:30:00,1013.44204461503,,0,1
05/24/2018 12:45:00,1013.44204461503,,0,1
05/24/2018 13:00:00,1062.87109583269,,0,1
05/24/2018 13:15:00,1050.4342173014,,0,1
05/24/2018 13:30:00,1025.7195160882,,0,1
05/24/2018 13:45:00,1038.05029917108,,0,1
05/24/2018 14:00:00,1025.7195160882,,0,1
05/24/2018 14:15:00,1038.05029917108,,0,1
05/24/2018 14:30:00,1038.05029917108,,0,1
05/24/2018 14:45:00,995.126187715529,,0,1
05/24/2018 15:00:00,976.931294974456,,0,1
05/24/2018 15:15:00,1019.57410528945,,0,1
05/24/2018 15:30:00,1044.2356273152,,0,1
05/24/2018 15:45:00,1062.87109583269,,0,1
05/24/2018 16:00:00,1031.87825475888,,0,1
05/24/2018 16:15:00,1013.44204461503,,0,1
05/24/2018 16:30:00,1038.05029917108,,0,1
05/24/2018 16:45:00,1031.87825475888,,0,1
05/24/2018 17:00:00,1007.32335644046,,0,1
05/24/2018 17:15:00,1013.44204461503,,0,1
05/24/2018 17:30:00,1019.57410528945,,0,1
05/24/2018 17:45:00,1013.44204461503,,0,1
05/24/2018 18:00:00,1019.57410528945,,0,1
05/24/2018 18:15:00,1019.57410528945,,0,1
05/24/2018 18:30:00,1025.7195160882,,0,1
05/24/2018 18:45:00,1025.7195160882,,0,1
05/24/2018 19:00:00,1007.32335644046,,0,1
05/24/2018 19:15:00,1019.57410528945,,0,1
05/24/2018 19:30:00,1038.05029917108,,0,1
05/24/2018 19:45:00,1001.21806326554,,0,1
05/24/2018 20:00:00,1019.57410528945,,0,1
05/24/2018 20:15:00,1019.57410528945,,0,1
05/24/2018 20:30:00,995.126187715529,,0,1
05/24/2018 20:45:00,989.047752542325,,0,1
05/24/2018 21:00:00,976.931294974456,,0,1
05/24/2018 21:15:00,1019.57410528945,,0,1
05/24/2018 21:30:00,1007.32335644046,,0,1
05/24/2018 21:45:00,995.126187715529,,0,1
05/24/2018 22:00:00,1007.32335644046,,0,1
05/24/2018 22:15:00,1001.21806326554,,0,1
05/24/2018 22:30:00,982.982780625684,,0,1
05/24/2018 22:45:00,1001.21806326554,,0,1
05/24/2018 23:00:00,982.982780625684,,0,1
05/24/2018 23:15:00,995.126187715529,,0,1
05/24/2018 23:30:00,982.982780625684,,0,1
05/24/2018 23:45:00,976.931294974456,,0,1
05/25/2018 00:00:00,982.982780625684,,0,1
05/25/2018 00:15:00,995.126187715529,,0,1
05/25/2018 00:30:00,970.893318727797,,0,1
05/25/2018 00:45:00,970.893318727797,,0,1
05/25/2018 01:00:00,940.906897716045,,0,1
05/25/2018 01:15:00,952.860679788181,,0,1
05/25/2018 01:30:00,923.078668036396,,0,1
05/25/2018 01:45:00,946.876975202206,,0,1
05/25/2018 02:00:00,929.007719975091,,0,1
05/25/2018 02:15:00,917.163339832482,,0,1
05/25/2018 02:30:00,940.906897716045,,0,1
05/25/2018 02:45:00,923.078668036396,,0,1
