Date,Precipitation,Temperature,DOY,WindSpeed,phase,Temp_min,Temp_max,WS_Constant,Precip_AvgWindSpeed_UndercatchAdj,Precip_MeasuredWindSpeed_UndercatchAdj
10/01/1964,,,274,,,,,6.73807,,
10/02/1964,,,275,,,,,6.66807,,
10/03/1964,,,276,,,,,6.66591,,
10/04/1964,,,277,,,,,6.71101,,
10/05/1964,,,278,,,,,6.69712,,
10/06/1964,,,279,,,,,6.73311,,
10/07/1964,,,280,,,,,6.75181,,
10/08/1964,,,281,,,,,6.76565,,
10/09/1964,,,282,,,,,6.80276,,
10/10/1964,,,283,,,,,6.85103,,
10/11/1964,,,284,,,,,6.85735,,
10/12/1964,,,285,,,,,6.86369,,
10/13/1964,,,286,,,,,6.83422,,
10/14/1964,,,287,,,,,6.80931,,
10/15/1964,,,288,,,,,6.86159,,
10/16/1964,,,289,,,,,6.94024,,
10/17/1964,,,290,,,,,6.95367,,
10/18/1964,,,291,,,,,6.95923,,
10/19/1964,,,292,,,,,6.92999,,
10/20/1964,,,293,,,,,6.98284,,
10/21/1964,,,294,,,,,7.02624,,
10/22/1964,,,295,,,,,7.0729,,
10/23/1964,,,296,,,,,7.11698,,
10/24/1964,,,297,,,,,7.14452,,
10/25/1964,,,298,,,,,7.12575,,
10/26/1964,,,299,,,,,7.19703,,
10/27/1964,,,300,,,,,7.30036,,
10/28/1964,,,301,,,,,7.31933,,
10/29/1964,,,302,,,,,7.4088,,
10/30/1964,,,303,,,,,7.46827,,
10/31/1964,,,304,,,,,7.52891,,
11/01/1964,,,305,,,,,7.57854,,
11/02/1964,,,306,,,,,7.66503,,
11/03/1964,,,307,,,,,7.68363,,
11/04/1964,,,308,,,,,7.73873,,
11/05/1964,,,309,,,,,7.75799,,
11/06/1964,,,310,,,,,7.76192,,
11/07/1964,,,311,,,,,7.78089,,
11/08/1964,,,312,,,,,7.79255,,
11/09/1964,,,313,,,,,7.76375,,
11/10/1964,,,314,,,,,7.78747,,
11/11/1964,,,315,,,,,7.80358,,
11/12/1964,,,316,,,,,7.83077,,
11/13/1964,,,317,,,,,7.90198,,
11/14/1964,,,318,,,,,7.91329,,
11/15/1964,,,319,,,,,7.90589,,
11/16/1964,,,320,,,,,7.93649,,
11/17/1964,,,321,,,,,7.88128,,
11/18/1964,,,322,,,,,7.85718,,
11/19/1964,,,323,,,,,7.92015,,
11/20/1964,,,324,,,,,7.92163,,
11/21/1964,,,325,,,,,7.91922,,
11/22/1964,,,326,,,,,7.91311,,
11/23/1964,,,327,,,,,7.93983,,
11/24/1964,,,328,,,,,7.98471,,
11/25/1964,,,329,,,,,7.94452,,
11/26/1964,,,330,,,,,7.9123,,
11/27/1964,,,331,,,,,7.91434,,
11/28/1964,,,332,,,,,7.90143,,
11/29/1964,,,333,,,,,7.84793,,
11/30/1964,,,334,,,,,7.82238,,
12/01/1964,,,335,,,,,7.8731,,
12/02/1964,,,336,,,,,7.81503,,
12/03/1964,,,337,,,,,7.81614,,
12/04/1964,,,338,,,,,7.84965,,
12/05/1964,,,339,,,,,7.88187,,
12/06/1964,,,340,,,,,7.85961,,
12/07/1964,,,341,,,,,7.84645,,
12/08/1964,,,342,,,,,7.8496,,
12/09/1964,,,343,,,,,7.90907,,
12/10/1964,,,344,,,,,8.00361,,
12/11/1964,,,345,,,,,8.11659,,
12/12/1964,,,346,,,,,8.14255,,
12/13/1964,,,347,,,,,8.18404,,
12/14/1964,,,348,,,,,8.24325,,
12/15/1964,,,349,,,,,8.30602,,
12/16/1964,,,350,,,,,8.3417,,
12/17/1964,,,351,,,,,8.60429,,
12/18/1964,,,352,,,,,8.66749,,
12/19/1964,,,353,,,,,8.6248,,
12/20/1964,,,354,,,,,8.56814,,
12/21/1964,,,355,,,,,8.59706,,
12/22/1964,,,356,,,,,8.65952,,
12/23/1964,,,357,,,,,8.69452,,
12/24/1964,,,358,,,,,8.7007,,
12/25/1964,,,359,,,,,8.68154,,
12/26/1964,,,360,,,,,8.59961,,
12/27/1964,,,361,,,,,8.61156,,
12/28/1964,,,362,,,,,8.60641,,
12/29/1964,,,363,,,,,8.56276,,
12/30/1964,,,364,,,,,8.49196,,
12/31/1964,,,365,,,,,8.40832,,
01/01/1965,,,0,,,,,8.60429,,
01/02/1965,,,1,,,,,8.66749,,
01/03/1965,,,2,,,,,8.6248,,
01/04/1965,,,3,,,,,8.56814,,
01/05/1965,,,4,,,,,8.59706,,
01/06/1965,,,5,,,,,8.65952,,
01/07/1965,,,6,,,,,8.69452,,
01/08/1965,,,7,,,,,8.7007,,
01/09/1965,,,8,,,,,8.68154,,
01/10/1965,,,9,,,,,8.59961,,
01/11/1965,,,10,,,,,8.61156,,
01/12/1965,,,11,,,,,8.60641,,
01/13/1965,,,12,,,,,8.56276,,
01/14/1965,,,13,,,,,8.49196,,
01/15/1965,,,14,,,,,8.40832,,
01/16/1965,,,15,,,,,8.3832,,
01/17/1965,,,16,,,,,8.33594,,
01/18/1965,,,17,,,,,8.38436,,
01/19/1965,,,18,,,,,8.38088,,
