site,site_code,date,time_AK,pH,water_temp_(C),EC_(uS/cm),Filter_size,Dissolved_Oxygen(mg/L),Turbidity(NTU),Alkalinity(meq/L),DOC (ug/L),d18O,d2H,NH4+ - N,NO2+NO3-N,PO4 - P,Sodium_(uMolar),Ammonium_(uMolar),Potassium_(uMolar),Magnesium_(uMolar),Calcium_(uMolar),Comments
field_blank,FB,4/18/17,,,,,,,,,,,,,,,,,,,,
nellie_juan_delta,OD,4/20/17,14:40,,,,,,,,816.1,-15.16,-108.38,,,,,,,,,
stream_gauge,BI,4/20/17,13:45,,0,142,,,,,617.8,-16.64,-120.3,,,,55,1,6,23,535,
lake_outlet,TS,4/28/17,11:30,,,,,,,,497.1,-14.90,-107.11,,,,,,,,,
terminus,GI,4/28/17,12:15,,,,,,,,167.2,-17.57,-126.84,,,,,,,,,
lake_outlet,TS,5/10/17,15:00,,,,,,,,818.3,-16.49,-123.49,,,,,,,,,"just downslope from june and later sampling point (60.379660, -148.924398)"
nellie_juan_delta,OD,5/10/17,16:00,,,,,,,,808.4,-15.77,-114.39,,,,,,,,,
terminus,GI,6/15/17,18:50,7.59,0.86,51,0.45,,,,114.8,-17.33,-125.65,<0.01,0.012,<0.004,27,1.2,7.6,17,238,
terminus,GI,6/17/17,16:10,7.68,0.87,45,0.45,,,,94.5,-16.37,-124.60,<0.01,<0.01,<0.004,23,1.0,6.1,16,230,
terminus,GI,6/18/17,15:37,7.61,0.8,40,0.45,,,,,-17.44,-131.49,<0.01,0.01,<0.004,21,0,5,13,212,
terminus,GI,6/19/17,11:46,7.64,0.72,46,0.45,,,,,-17.70,-132.36,<0.01,0.016,<0.004,25,4,6,16,245,
lake_outlet,TS,6/15/17,20:09,7.04,2.73,16,0.45,,,,340.5,-17.06,-129.35,<0.01,0.022,<0.004,16,0,1,4,109,
lake_outlet,TS,6/17/17,17:24,6.89,3.13,12,0.45,,,,299.9,-16.38,-126.02,<0.01,<0.01,<0.004,16,0,2,4,113,
lake_outlet,TS,6/18/17,16:21,6.99,3.64,14,0.45,,,,330.7,-16.79,-120.74,<0.01,<0.01,<0.004,14,1,1,4,107,
lake_inlet,TS,6/15/17,20:41,7.29,6.27,21,0.45,,,,,-16.38,-125.05,<0.01,<0.01,<0.004,17,0,1,4,150,
lake_inlet,TS,6/17/17,17:40,7.3,10.2,23,0.45,,,,1033.7,-16.07,-121.34,<0.01,<0.01,<0.004,17,0,1,4,159,
lake_inlet,TS,6/18/17,16:52,7.35,10.6,24,0.45,,,,443.6,-16.14,-122.95,<0.01,<0.01,<0.004,18,0,1,5,170,
