sample,site,site_code,datetime,date,time_AK,pH,EC_(uS/cm),TDS_(mg/L),gauge_height_(cm),water_temp_(C),conc_TOC,FI,d18O,d2H,Na_(ug/L),Na_LOD,Mg_(ug/L),Mg_LOD,Al_(ug/L) ,Al_LOD,K_(ug/L) ,K_LOD,Ca_(ug/L) ,Ca_LOD,V_(ug/L) ,V_LOD,Cr_(ug/L),Cr_LOD,Mn_(ug/L) ,Mn_LOD,Fe_(ug/L),Fe_LOD,Ni_(ug/L) ,Ni_LOD,Cu_(ug/L),Cu_LOD,Zn_(ug/L),Zn_LOD,As_(ug/L) ,As_LOD,Se_(ug/L) ,Se_LOD,Mo_(ug/L) ,Mo_LOD,Sb_(ug/L) ,Sb_LOD,Ba_(ug/L) ,Ba_LOD,Pb_(ug/L) ,Pb_LOD,Chloride_(mg/L),Chloride_LOD,Sulfate_(mg/L),Sulfate_LOD,Nitrate_(mg/L),Nitrate_LOD
11,stream_gauge,BI,2016/04/18 12:00,2016/04/18 ,12:00,,,,,,1704,1.71,-17.17328082,-126.9640691,861.04,100.00,287.34,87.17,12.11,0.99,204.82,54.49,13665.89,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.88,0.30,<LOD,1.70,2.47,0.26,3.37,0.13,<LOD,0.35,0.87,0.44,1.28,0.73,3.75,0.73,<LOD,0.63,0.87,0.23,6.58,0.16,0.37,0.09
0,stream_gauge,BI,2016/04/21 15:00,2016/04/21 ,15:00,,,,,,325,1.63,-16.88495069,-122.116946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,stream_gauge,BI,2016/05/11 13:05,2016/05/11 ,13:05,7.91,53,24,,1,567,1.55,-16.91404066,-117.8834098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,stream_gauge,BI,2016/05/14 11:45,2016/05/14 ,11:45,7.75,43,22,,0.9,558,1.44,-17.00458037,-123.4533497,512.83,100.00,151.31,87.17,24.01,0.99,173.40,54.49,7517.32,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.45,0.30,<LOD,1.70,3.13,0.26,2.07,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,2.20,0.73,<LOD,0.63,0.61,0.23,3.24,0.16,0.30,0.09
W16K-201,stream_gauge,BI,2016/05/14 11:49,2016/05/14,11:49,,46,,,,,,-17.47908828,-128.4432135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W16K-203,stream_gauge,BI,2016/05/14 12:40,2016/05/14,12:40,,46,,,,,,-17.99563039,-132.1349017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,stream_gauge,BI,2016/05/15 10:09,2016/05/15 ,10:09,6.7,42,,,2.1,451,1.62,-16.53291981,-123.1319941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,stream_gauge,BI,2016/05/16 11:24,2016/05/16 ,11:24,7.75,40,20,,0.9,307,1.75,-16.81090217,-125.6209581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,stream_gauge,BI,2016/05/31 12:05,2016/05/31 ,12:05,7.39,32,16,,1.4,261,,-17.46810112,-127.3310059,<LOD,100.00,<LOD,87.17,29.78,0.99,59.63,54.49,1780.23,121.25,<LOD,1.80,<LOD,0.67,1.03,0.93,49.22,44.95,<LOD,0.30,<LOD,1.70,4.89,0.26,0.38,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,1.53,0.73,<LOD,0.63,<LOD,0.23,0.71,0.16,0.17,0.09
40,stream_gauge,BI,2016/07/14 10:48,2016/07/14 ,10:48,7.2,15,,,1.7,137,2.28,-16.90030366,-122.705363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,stream_gauge,BI,2016/07/19 10:30,2016/07/19 ,10:30,7.96,15,7,,2.3,101,,-16.40598137,-118.8345028,452.91,100.00,200.95,87.17,285.74,0.99,292.58,54.49,3940.29,121.25,<LOD,1.80,0.94,0.67,12.36,0.93,414.58,44.95,2.22,0.30,2.37,1.70,11.35,0.26,1.54,0.13,<LOD,0.35,<LOD,0.44,<LOD,0.73,4.74,0.73,<LOD,0.63,0.56,0.23,5.18,0.16,0.30,0.09
118,stream_gauge,BI,2016/09/07 12:46,2016/09/07 ,12:46,8.6,23,11,,2.1,1668,,-16.48747705,-120.1382556,417.12,100.00,221.92,36.06,174.04,0.61,368.44,14.05,3996.21,58.04,<LOD,1.40,<LOD,0.65,7.60,1.37,334.03,168.20,1.08,0.29,1.19,1.12,5.45,0.39,1.92,0.05,<LOD,2.08,0.68,0.07,0.19,0.08,3.07,0.14,0.41,0.06,0.42,0.23,3.26,0.16,0.33,0.09
FB,field_blank,FB,2016/05/01 12:00,2016/05/01 ,12:00,,,,,,471,,-6.264316594,-38.85507614,235.64,100.00,<LOD,377.84,<LOD,9.24,497.55,380.73,405.23,378.38,<LOD,3.67,4.33,4.11,<LOD,3.46,<LOD,383.67,26.83,3.51,<LOD,3.98,31.99,2.99,<LOD,3.27,<LOD,3.98,<LOD,3.32,4.77,3.32,3.7,3.38,<LOD,4.03,<LOD,0.31,5.88,0.11,n.a.,0.21
FB-DII,field_blank_DII,FB,,,,,,,,,,,,,242.8731093,100.00,<LOD,36.06,7.468207003,0.61,19.61237546,14.05,734.2190479,58.04,<LOD,1.40,<LOD,0.65,<LOD,1.37,<LOD,168.20,<LOD,0.29,<LOD,1.12,<LOD,0.39,0.17,0.05,<LOD,2.08,<LOD,0.07,<LOD,0.08,3.57,0.14,<LOD,0.06,<LOD,0.06,1.54,1.19,0.73,0.48
9,terminus,GI,2016/05/07 17:15,2016/05/07 ,17:15,,,,,,1602,1.73,-17.10880305,-126.2135997,630.58,100.00,189.44,87.17,12.79,0.99,106.63,54.49,9573.07,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.39,0.30,<LOD,1.70,0.31,0.26,2.22,0.13,<LOD,0.35,0.66,0.44,0.85,0.73,2.40,0.73,<LOD,0.63,0.59,0.23,4.56,0.16,0.29,0.09
W16K-21,terminus,GI,2016/05/10 17:00,2016/05/10,17:00,,,,,,,,-16.74091727,-121.0204779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,terminus,GI,2016/05/10 17:55,2016/05/10 ,17:55,8.68,62,31,,0.6,312,1.68,-16.89390938,-125.4694312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,terminus,GI,2016/05/11 11:13,2016/05/11 ,11:13,8.15,54,27,50.4,0.7,423,1.71,-17.24967926,-127.2687143,603.29,100.00,205.85,102.69,<LOD,6.24,101.17,56.44,9223.29,72.72,<LOD,0.09,<LOD,0.68,<LOD,0.39,<LOD,63.07,<LOD,0.35,0.42,0.38,2.4,0.41,2.21,0.08,<LOD,0.21,0.51,0.15,2.37,0.03,3.02,0.09,<LOD,0.09,<LOD,0.31,23.71,0.11,n.a.,0.21
1,terminus,GI,2016/05/12 12:00,2016/05/12 ,12:00,7.53,53,27,,0.56,236,1.79,-16.86443309,-124.6082096,837.32,100.00,201.40,87.17,27.15,0.99,436.76,54.49,9140.43,121.25,<LOD,1.80,<LOD,0.67,<LOD,0.93,<LOD,44.95,0.65,0.30,<LOD,1.70,11.39,0.26,3.49,0.13,<LOD,0.35,1.19,0.44,0.86,0.73,2.43,0.73,<LOD,0.63,0.80,0.23,4.80,0.16,0.29,0.09
30,terminus,GI,2016/05/13 08:40,2016/05/13 ,8:40,7.84,51,26,,0.6,205,1.75,-16.12430968,-120.2209781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
