datetime,Q,SC
5/22/2018 13:15:00,52.2,42
5/22/2018 13:45:00,54.8,42
5/22/2018 14:00:00,55.7,42
5/22/2018 14:15:00,55.7,42
5/22/2018 14:30:00,56.6,42
5/22/2018 14:45:00,61.8,42
5/22/2018 15:00:00,63,42
5/22/2018 15:15:00,64.3,42
5/22/2018 15:30:00,65.5,41
5/22/2018 15:45:00,71.9,41
5/22/2018 16:00:00,73.2,41
5/22/2018 16:15:00,74.5,41
5/22/2018 16:30:00,78.7,41
5/22/2018 16:45:00,81.5,41
5/22/2018 17:00:00,85.8,40
5/22/2018 17:15:00,88.8,40
5/22/2018 17:30:00,87.3,40
5/22/2018 17:45:00,88.8,40
5/22/2018 18:00:00,95,40
5/22/2018 18:15:00,95,40
5/22/2018 18:30:00,101,41
5/22/2018 18:45:00,101,41
5/22/2018 19:00:00,99.8,40
5/22/2018 19:15:00,99.8,40
5/22/2018 19:30:00,99.8,39
5/22/2018 19:45:00,99.8,39
5/22/2018 20:00:00,103,39
5/22/2018 20:15:00,98.2,39
5/22/2018 20:30:00,98.2,39
5/22/2018 20:45:00,103,37
5/22/2018 21:00:00,99.8,37
5/22/2018 21:15:00,98.2,37
5/22/2018 21:30:00,99.8,37
5/22/2018 21:45:00,91.9,37
5/22/2018 22:00:00,90.3,37
5/22/2018 22:15:00,91.9,37
5/22/2018 22:30:00,88.8,36
5/22/2018 22:45:00,85.8,36
5/22/2018 23:00:00,84.4,36
5/22/2018 23:15:00,88.8,36
5/22/2018 23:30:00,88.8,36
5/22/2018 23:45:00,87.3,36
5/23/2018 00:00:00,82.9,36
5/23/2018 00:15:00,81.5,36
5/23/2018 00:30:00,82.9,36
5/23/2018 00:45:00,80,36
5/23/2018 01:00:00,77.2,36
5/23/2018 01:15:00,75.9,36
5/23/2018 01:30:00,75.9,36
5/23/2018 01:45:00,74.5,37
5/23/2018 02:00:00,71.8,37
5/23/2018 02:15:00,74.5,37
5/23/2018 02:30:00,70.5,37
5/23/2018 02:45:00,66.7,37
5/23/2018 03:00:00,65.5,37
5/23/2018 03:15:00,66.7,37
5/23/2018 03:30:00,61.8,37
5/23/2018 03:45:00,64.2,37
5/23/2018 04:00:00,60.6,37
5/23/2018 04:15:00,61.8,37
5/23/2018 04:30:00,59.5,37
5/23/2018 04:45:00,58.4,37
5/23/2018 05:00:00,58.4,37
5/23/2018 05:15:00,57.5,39
5/23/2018 05:30:00,57.5,39
5/23/2018 05:45:00,55.7,39
5/23/2018 06:00:00,56.6,39
5/23/2018 06:15:00,54.8,39
5/23/2018 06:30:00,56.6,39
5/23/2018 06:45:00,54.8,40
5/23/2018 07:00:00,53,39
5/23/2018 07:15:00,53.9,40
